symbol,interval,open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,price_range,price_change,percent_change,candle_direction
ADAUSDT,1h,2026-06-26 10:00:00+00:00,0.1438,0.1445,0.1434,0.1437,4048747.5,2026-06-26 10:59:59.999000+00:00,582231.38253,2362.0,2177747.1,313198.5186,0.0010999999999999899,-0.00010000000000001674,-0.0695410292072439,down
ADAUSDT,1h,2026-06-07 16:00:00+00:00,0.1623,0.1631,0.162,0.1626,4630663.7,2026-06-07 16:59:59.999000+00:00,752753.88373,4284.0,2146365.8,348889.47749,0.0010999999999999899,0.0002999999999999947,0.1848428835489801,up
ADAUSDT,1h,2026-06-26 11:00:00+00:00,0.1438,0.1446,0.1427,0.1433,3328865.6,2026-06-26 11:59:59.999000+00:00,478329.76053,2423.0,1739230.4,250034.24864,0.0019000000000000128,-0.0005000000000000004,-0.3477051460361616,down
ADAUSDT,1h,2026-06-29 00:00:00+00:00,0.1438,0.1441,0.1419,0.1441,3601098.0,2026-06-29 00:59:59.999000+00:00,514897.82379,3798.0,1896535.4,271242.43559,0.0022000000000000075,0.0002999999999999947,0.20862308762169313,up
ADAUSDT,1h,2026-06-21 08:00:00+00:00,0.1616,0.1617,0.16,0.1611,2683155.6,2026-06-21 08:59:59.999000+00:00,430936.10186,1955.0,912111.6,146548.04823,0.001700000000000007,-0.0005000000000000004,-0.3094059405940597,down
AVAXUSDT,1h,2026-06-17 03:00:00+00:00,6.983,6.983,6.932,6.954,73511.21,2026-06-17 03:59:59.999000+00:00,511205.88939,5304.0,24866.14,172958.60859,0.05099999999999927,-0.028999999999999915,-0.41529428612344144,down
AVAXUSDT,1h,2026-06-18 16:00:00+00:00,6.244,6.338,6.228,6.334,291261.57,2026-06-18 16:59:59.999000+00:00,1833302.56849,21263.0,158098.75,994938.54118,0.11000000000000032,0.08999999999999986,1.441383728379242,up
AVAXUSDT,1h,2026-06-26 15:00:00+00:00,6.228,6.377,6.21,6.373,213165.34,2026-06-26 15:59:59.999000+00:00,1347757.28509,18776.0,112816.7,713268.3277,0.16699999999999982,0.14500000000000046,2.3281952472703993,up
AVAXUSDT,1h,2026-06-02 13:00:00+00:00,8.7,8.72,8.678,8.694,61635.79,2026-06-02 13:59:59.999000+00:00,536144.97338,6898.0,29181.37,253919.46971,0.041999999999999815,-0.005999999999998451,-0.06896551724136152,down
AVAXUSDT,1h,2026-07-02 11:00:00+00:00,6.797,6.814,6.764,6.782,113632.22,2026-07-02 11:59:59.999000+00:00,771751.41343,9431.0,45871.93,311657.29454,0.04999999999999982,-0.01499999999999968,-0.22068559658672474,down
BNBUSDT,1h,2026-06-22 03:00:00+00:00,591.32,592.7,589.07,590.05,3536.436,2026-06-22 03:59:59.999000+00:00,2089772.6794,21153.0,1620.016,957372.56955,3.6299999999999955,-1.2700000000000955,-0.214773726577842,down
BNBUSDT,1h,2026-05-24 19:00:00+00:00,655.39,656.45,655.21,656.16,802.786,2026-05-24 19:59:59.999000+00:00,526507.28205,9517.0,497.338,326182.10857,1.240000000000009,0.7699999999999818,0.11748729763957061,up
BNBUSDT,1h,2026-06-30 05:00:00+00:00,553.17,554.14,552.0,554.12,4697.823,2026-06-30 05:59:59.999000+00:00,2596728.72502,19599.0,2156.415,1192024.24478,2.1399999999999864,0.9500000000000455,0.171737440569815,up
BNBUSDT,1h,2026-05-25 02:00:00+00:00,655.9,659.98,655.9,657.01,2720.107,2026-05-25 02:59:59.999000+00:00,1790525.51978,27340.0,1286.578,846998.8185,4.080000000000041,1.1100000000000136,0.1692331148040881,up
