symbol,row_count,avg_price_range,min_price_range,max_price_range,stddev_price_range,volatility_rank,total_trades,total_quote_volume,avg_volume,symbol_activity_score,symbol_activity_rank,avg_percent_change,up_count,down_count,flat_count
BTCUSDT,964,450.41,59.07,3254.17,326.79,1,153338630.0,49246473595.38412,814.13,3775212956.4662867,1,-0.02,452,497,1
ETHUSDT,980,15.84,2.4,108.08,11.85,2,145277925.0,23532344325.37225,14040.31,3469475346.8449636,2,-0.02,461,494,1
SOLUSDT,979,0.8,0.18,4.41,0.51,4,38478717.0,7798834145.565394,115167.85,876438975.5057751,3,0.0,477,479,8
BNBUSDT,960,4.66,0.85,40.99,3.56,3,35593173.0,4267049276.199123,7477.96,789249723.4830228,4,-0.01,478,473,1
XRPUSDT,963,0.01,0.0,0.1,0.01,8,28691810.0,4576616481.885374,4172477.9,638227100.3327602,5,-0.03,448,492,8
DOGEUSDT,979,0.0,0.0,0.01,0.0,9,25094224.0,2207964030.6546893,26560167.72,539910677.9633135,6,-0.03,479,480,9
AVAXUSDT,979,0.09,0.02,0.44,0.06,5,9952454.0,778733069.80404,116303.75,203758371.12549084,7,-0.03,467,486,8
LINKUSDT,973,0.08,0.01,0.48,0.05,6,6125527.0,778622624.9349114,101032.4,125408141.23700231,8,-0.03,466,487,9
ADAUSDT,970,0.0,0.0,0.01,0.0,10,4781555.0,1149692585.2154512,6942934.25,99756436.43472798,9,-0.03,454,469,30
DOTUSDT,966,0.01,0.0,0.07,0.01,7,1547481.0,276169579.10738,288153.77,30077654.15817925,10,-0.05,432,444,72
